package,binary_value,available_versions,TabHost_use_in_latest_version,support_this_feature
com.pixelcubestudios.impossiblesummerandroid,0,2,,False
com.plantpurple.emojidom,0,4,,False
com.postjournal.app,0,2,,False
com.primera.android,0,2,,False
com.probcomp.moveapps,0,2,,False
com.probcomp.webrankstats,0,2,,False
com.quickoffice.android,0,3,,False
com.rajesh.tomandjerry,0,2,,False
com.rayark.uproot,0,2,,False
com.razmobi.apps.puzzlesfortoddlerslite,0,2,,False
com.rcsoft.suldog,0,2,,False
com.rebtel.android,0,2,,False
com.recipe.ifoodtvthai,0,2,,False
com.retale.android,0,2,,False
com.rim.mobilefusion.client,0,5,,False
com.ringtonmaker,0,2,,False
com.rmf,0,2,,False
com.roguerocketgames.sushichop,0,2,,False
com.rothconsulting.android.localtv,0,5,,False
com.route66.maps5,0,2,,False
com.s4bb.batterywatch,0,2,,False
com.siemens.industry.onlinesupport,0,2,,False
com.signnow.android,0,2,,False
com.sillens.shapeupclub,0,3,,False
com.smule.magicpiano,0,6,,False
com.snapfish.mobile,0,2,,False
com.sofascore.android,0,2,,False
com.solchurch.app,0,2,,False
com.sp.protector.free,0,4,,False
com.spatzsays.freeiq,0,2,,False
com.speedymovil.wire,0,3,,False
com.stac.empire.main,0,17,,False
com.statefarm.pocketagent,0,4,,False
com.stt.android,0,7,,False
com.styleshare.android,0,4,,False
com.subsplash.thechurchapp.CornwallChurch,0,2,,False
com.subsplash.thechurchapp.TheGospelCoalition,0,2,,False
com.subsplash.thechurchapp.TheUrbanAlternative,0,2,,False
com.subsplash.thechurchapp.alliancechristianfellowshipchurch,0,2,,False
com.subsplash.thechurchapp.apostolicfaithchurch,0,2,,False
com.subsplash.thechurchapp.arelentlesspursuit,0,2,,False
com.subsplash.thechurchapp.bayareacommunitychurch,0,2,,False
com.subsplash.thechurchapp.bayareafellowship,0,2,,False
com.subsplash.thechurchapp.billygrahamevangelisticassociation,0,2,,False
com.subsplash.thechurchapp.bluevalleybaptist,0,2,,False
com.subsplash.thechurchapp.brandnewchurch,0,2,,False
com.subsplash.thechurchapp.bridgecommunitychurch,0,2,,False
com.subsplash.thechurchapp.centralassemblyofgod,0,2,,False
com.subsplash.thechurchapp.christianfaithfellowshipfamilychurch,0,2,,False
com.subsplash.thechurchapp.christianlifeassembly,0,4,,False
