Package Name,Version Code,Number of Supported Screen Sizes,normal,normal,large,xlarge
com.sec.spp.push,46,4,True,True,True,True
com.google.android.youtube,5021,4,True,True,True,True
com.android.chrome,1650059,4,True,True,True,True
vStudio.Android.Camera360,422,4,True,True,True,True
com.creativemobile.DragRacing,90,4,True,True,True,True
com.rovio.angrybirdsspace.ads,1650,4,True,True,True,True
com.yahoo.mobile.client.android.mail,1310622,4,True,True,True,True
goldenshorestechnologies.brightestflashlight.free,26,3,True,True,True,False
com.google.android.talk,757001,4,True,True,True,True
com.mxtech.videoplayer.ad,65,4,True,True,True,True
com.google.android.apps.maps,701000803,4,True,True,True,True
com.melodis.midomiMusicIdentifier.freemium,10591,4,True,True,True,True
br.com.rodrigokolb.realdrum,23,3,True,True,True,False
com.alienmanfc6.wheresmyandroid,92,4,True,True,True,True
com.skype.raider,67405411,4,True,True,True,True
at.nerbrothers.SuperJump,11,3,True,True,True,False
com.picsart.studio,68,4,True,True,True,True
com.rechild.advancedtaskkiller,103,3,True,True,True,False
com.androidwasabi.livewallpaper.dandelion,44,4,True,True,True,True
com.ebay.mobile,43,4,True,True,True,True
com.google.earth,13294050,3,False,True,True,True
com.metago.astro,564,4,True,True,True,True
com.PinballGame,8,3,True,True,True,False
com.jb.gosms,170,3,True,True,True,False
com.devuni.flashlight,141,4,True,True,True,True
com.devuni.flashlight,139,4,True,True,True,True
com.skype.raider,67130946,4,True,True,True,True
com.aitype.android,1999,3,True,True,True,False
com.android.chrome,1547059,4,True,True,True,True
com.bestcoolfungames.antsmasher,7002,3,True,True,True,False
com.a0soft.gphone.app2sd,318,4,True,True,True,True
com.accuweather.android,41,4,True,True,True,True
com.gau.go.launcherex,267,3,True,True,True,False
com.google.android.googlequicksearchbox,300301080,4,True,True,True,True
com.samsung.swift.app.kiesair,23132,3,False,True,True,True
com.sec.chaton,207103000,4,True,True,True,True
com.jb.gosms,154,3,True,True,True,False
com.melodis.midomiMusicIdentifier.freemium,10560,4,True,True,True,True
